,location,timestamp,event,count
45,MP 01: Naamsestraat 35  Maxim,2022-01-04 11:10,Transport road - Passenger car,1
46,MP 01: Naamsestraat 35  Maxim,2022-01-04 11:40,Transport road - Passenger car,1
47,MP 01: Naamsestraat 35  Maxim,2022-01-04 11:45,Transport road - Passenger car,1
48,MP 01: Naamsestraat 35  Maxim,2022-01-04 11:59,Human voice - Shouting,1
49,MP 01: Naamsestraat 35  Maxim,2022-01-04 12:00,Unsupported,1
50,MP 01: Naamsestraat 35  Maxim,2022-01-04 12:01,Transport road - Passenger car,1
51,MP 01: Naamsestraat 35  Maxim,2022-01-04 12:12,Unsupported,2
52,MP 01: Naamsestraat 35  Maxim,2022-01-04 12:14,Human voice - Shouting,2
53,MP 01: Naamsestraat 35  Maxim,2022-01-04 12:15,Human voice - Shouting,1
54,MP 01: Naamsestraat 35  Maxim,2022-01-04 12:17,Human voice - Shouting,1
55,MP 01: Naamsestraat 35  Maxim,2022-01-04 12:21,Human voice - Shouting,1
56,MP 01: Naamsestraat 35  Maxim,2022-01-04 12:22,Human voice - Shouting,2
57,MP 01: Naamsestraat 35  Maxim,2022-01-04 12:23,Unsupported,1
58,MP 01: Naamsestraat 35  Maxim,2022-01-04 12:25,Human voice - Shouting,2
59,MP 01: Naamsestraat 35  Maxim,2022-01-04 12:26,Unsupported,1
60,MP 01: Naamsestraat 35  Maxim,2022-01-04 12:30,Unsupported,1
61,MP 01: Naamsestraat 35  Maxim,2022-01-04 12:31,Human voice - Shouting,2
62,MP 01: Naamsestraat 35  Maxim,2022-01-04 12:53,Transport road - Passenger car,1
63,MP 01: Naamsestraat 35  Maxim,2022-01-04 13:38,Transport road - Passenger car,1
64,MP 01: Naamsestraat 35  Maxim,2022-01-04 14:25,Transport road - Passenger car,1
65,MP 01: Naamsestraat 35  Maxim,2022-01-04 14:30,Transport road - Passenger car,1
66,MP 01: Naamsestraat 35  Maxim,2022-01-04 16:26,Transport road - Passenger car,1
67,MP 01: Naamsestraat 35  Maxim,2022-01-04 16:30,Unsupported,1
68,MP 01: Naamsestraat 35  Maxim,2022-01-04 17:25,Transport road - Passenger car,1
69,MP 01: Naamsestraat 35  Maxim,2022-01-04 18:36,Transport road - Passenger car,1
70,MP 01: Naamsestraat 35  Maxim,2022-01-04 18:44,Transport road - Passenger car,1
71,MP 01: Naamsestraat 35  Maxim,2022-01-04 18:47,Transport road - Passenger car,1
72,MP 01: Naamsestraat 35  Maxim,2022-01-04 19:25,Unsupported,1
73,MP 01: Naamsestraat 35  Maxim,2022-01-04 20:30,Transport road - Passenger car,1
74,MP 01: Naamsestraat 35  Maxim,2022-01-04 20:42,Transport road - Passenger car,1
75,MP 01: Naamsestraat 35  Maxim,2022-01-04 21:45,Unsupported,1
76,MP 01: Naamsestraat 35  Maxim,2022-01-04 22:40,Transport road - Passenger car,1
77,MP 01: Naamsestraat 35  Maxim,2022-01-04 22:46,Transport road - Passenger car,1
78,MP 01: Naamsestraat 35  Maxim,2022-01-04 22:49,Human voice - Shouting,1
79,MP 01: Naamsestraat 35  Maxim,2022-01-04 23:22,Human voice - Shouting,1
80,MP 01: Naamsestraat 35  Maxim,2022-01-04 23:49,Unsupported,1
81,MP 01: Naamsestraat 35  Maxim,2022-01-05 01:14,Unsupported,1
82,MP 01: Naamsestraat 35  Maxim,2022-01-05 03:52,Transport road - Passenger car,1
83,MP 01: Naamsestraat 35  Maxim,2022-01-05 08:23,Transport road - Passenger car,1
84,MP 01: Naamsestraat 35  Maxim,2022-01-05 09:33,Unsupported,1
85,MP 01: Naamsestraat 35  Maxim,2022-01-05 13:04,Unsupported,1
86,MP 01: Naamsestraat 35  Maxim,2022-01-05 17:35,Transport road - Passenger car,1
87,MP 01: Naamsestraat 35  Maxim,2022-01-05 17:57,Unsupported,1
88,MP 01: Naamsestraat 35  Maxim,2022-01-05 19:03,Transport road - Passenger car,1
89,MP 01: Naamsestraat 35  Maxim,2022-01-05 19:16,Transport road - Passenger car,1
90,MP 01: Naamsestraat 35  Maxim,2022-01-05 19:58,Transport road - Passenger car,1
91,MP 01: Naamsestraat 35  Maxim,2022-01-05 22:28,Transport road - Passenger car,1
92,MP 01: Naamsestraat 35  Maxim,2022-01-05 23:02,Transport road - Passenger car,1
93,MP 01: Naamsestraat 35  Maxim,2022-01-05 23:53,Human voice - Shouting,1
94,MP 01: Naamsestraat 35  Maxim,2022-01-06 15:35,Transport road - Passenger car,1
95,MP 01: Naamsestraat 35  Maxim,2022-01-06 15:46,Transport road - Passenger car,2
96,MP 01: Naamsestraat 35  Maxim,2022-01-06 16:23,Transport road - Passenger car,1
97,MP 01: Naamsestraat 35  Maxim,2022-01-06 16:30,Transport road - Passenger car,1
98,MP 01: Naamsestraat 35  Maxim,2022-01-06 16:48,Transport road - Passenger car,1
99,MP 01: Naamsestraat 35  Maxim,2022-01-06 16:52,Transport road - Passenger car,1
100,MP 01: Naamsestraat 35  Maxim,2022-01-06 17:31,Unsupported,1
101,MP 01: Naamsestraat 35  Maxim,2022-01-06 17:32,Unsupported,1
102,MP 01: Naamsestraat 35  Maxim,2022-01-06 17:35,Unsupported,1
103,MP 01: Naamsestraat 35  Maxim,2022-01-06 17:43,Human voice - Shouting,1
104,MP 01: Naamsestraat 35  Maxim,2022-01-06 17:53,Transport road - Passenger car,1
105,MP 01: Naamsestraat 35  Maxim,2022-01-06 18:00,Transport road - Passenger car,1
106,MP 01: Naamsestraat 35  Maxim,2022-01-06 18:04,Transport road - Passenger car,1
107,MP 01: Naamsestraat 35  Maxim,2022-01-06 18:05,Transport road - Passenger car,1
108,MP 01: Naamsestraat 35  Maxim,2022-01-06 18:12,Transport road - Passenger car,1
109,MP 01: Naamsestraat 35  Maxim,2022-01-06 18:28,Transport road - Passenger car,1
110,MP 01: Naamsestraat 35  Maxim,2022-01-06 18:43,Transport road - Passenger car,1
111,MP 01: Naamsestraat 35  Maxim,2022-01-06 18:50,Transport road - Passenger car,1
112,MP 01: Naamsestraat 35  Maxim,2022-01-06 18:53,Transport road - Passenger car,1
113,MP 01: Naamsestraat 35  Maxim,2022-01-06 19:21,Transport road - Passenger car,1
114,MP 01: Naamsestraat 35  Maxim,2022-01-06 20:02,Transport road - Passenger car,1
115,MP 01: Naamsestraat 35  Maxim,2022-01-06 20:16,Transport road - Passenger car,1
116,MP 01: Naamsestraat 35  Maxim,2022-01-06 20:19,Transport road - Passenger car,1
117,MP 01: Naamsestraat 35  Maxim,2022-01-06 20:20,Transport road - Passenger car,1
118,MP 01: Naamsestraat 35  Maxim,2022-01-06 20:29,Transport road - Passenger car,1
119,MP 01: Naamsestraat 35  Maxim,2022-01-06 20:51,Transport road - Passenger car,1
120,MP 01: Naamsestraat 35  Maxim,2022-01-06 20:58,Transport road - Passenger car,1
121,MP 01: Naamsestraat 35  Maxim,2022-01-06 21:53,Transport road - Passenger car,1
122,MP 01: Naamsestraat 35  Maxim,2022-01-06 22:20,Unsupported,1
123,MP 01: Naamsestraat 35  Maxim,2022-01-06 22:31,Transport road - Siren,1
124,MP 01: Naamsestraat 35  Maxim,2022-01-06 22:49,Unsupported,1
125,MP 01: Naamsestraat 35  Maxim,2022-01-06 23:07,Transport road - Passenger car,1
126,MP 01: Naamsestraat 35  Maxim,2022-01-06 23:33,Transport road - Passenger car,1
127,MP 01: Naamsestraat 35  Maxim,2022-01-06 23:44,Transport road - Passenger car,1
128,MP 01: Naamsestraat 35  Maxim,2022-01-06 23:53,Transport road - Passenger car,1
129,MP 01: Naamsestraat 35  Maxim,2022-01-07 00:23,Transport road - Passenger car,1
130,MP 01: Naamsestraat 35  Maxim,2022-01-07 00:45,Transport road - Passenger car,1
131,MP 01: Naamsestraat 35  Maxim,2022-01-07 00:54,Transport road - Passenger car,1
132,MP 01: Naamsestraat 35  Maxim,2022-01-07 01:16,Transport road - Passenger car,1
133,MP 01: Naamsestraat 35  Maxim,2022-01-07 01:54,Transport road - Passenger car,1
134,MP 01: Naamsestraat 35  Maxim,2022-01-07 02:30,Transport road - Passenger car,1
135,MP 01: Naamsestraat 35  Maxim,2022-01-07 03:44,Transport road - Passenger car,1
136,MP 01: Naamsestraat 35  Maxim,2022-01-07 04:43,Transport road - Passenger car,1
137,MP 01: Naamsestraat 35  Maxim,2022-01-07 04:48,Unsupported,1
138,MP 01: Naamsestraat 35  Maxim,2022-01-07 06:07,Transport road - Passenger car,1
139,MP 01: Naamsestraat 35  Maxim,2022-01-07 06:20,Transport road - Passenger car,1
140,MP 01: Naamsestraat 35  Maxim,2022-01-07 06:31,Transport road - Passenger car,1
141,MP 01: Naamsestraat 35  Maxim,2022-01-07 06:37,Transport road - Passenger car,1
142,MP 01: Naamsestraat 35  Maxim,2022-01-07 06:38,Transport road - Passenger car,1
143,MP 01: Naamsestraat 35  Maxim,2022-01-07 06:41,Transport road - Passenger car,1
144,MP 01: Naamsestraat 35  Maxim,2022-01-07 06:50,Transport road - Passenger car,1
145,MP 01: Naamsestraat 35  Maxim,2022-01-07 06:59,Transport road - Passenger car,1
146,MP 01: Naamsestraat 35  Maxim,2022-01-07 07:07,Transport road - Passenger car,1
147,MP 01: Naamsestraat 35  Maxim,2022-01-07 07:08,Transport road - Passenger car,1
148,MP 01: Naamsestraat 35  Maxim,2022-01-07 07:11,Transport road - Passenger car,1
149,MP 01: Naamsestraat 35  Maxim,2022-01-07 07:36,Transport road - Passenger car,1
150,MP 01: Naamsestraat 35  Maxim,2022-01-07 07:40,Transport road - Passenger car,1
151,MP 01: Naamsestraat 35  Maxim,2022-01-07 07:42,Unsupported,1
152,MP 01: Naamsestraat 35  Maxim,2022-01-07 07:45,Transport road - Passenger car,1
153,MP 01: Naamsestraat 35  Maxim,2022-01-07 07:49,Transport road - Passenger car,1
154,MP 01: Naamsestraat 35  Maxim,2022-01-07 07:53,Unsupported,1
155,MP 01: Naamsestraat 35  Maxim,2022-01-07 08:05,Unsupported,1
156,MP 01: Naamsestraat 35  Maxim,2022-01-07 08:23,Unsupported,1
157,MP 01: Naamsestraat 35  Maxim,2022-01-07 08:42,Unsupported,1
158,MP 01: Naamsestraat 35  Maxim,2022-01-07 08:43,Unsupported,1
159,MP 01: Naamsestraat 35  Maxim,2022-01-07 08:46,Transport road - Passenger car,1
160,MP 01: Naamsestraat 35  Maxim,2022-01-07 08:52,Transport road - Passenger car,1
161,MP 01: Naamsestraat 35  Maxim,2022-01-07 09:07,Unsupported,1
162,MP 01: Naamsestraat 35  Maxim,2022-01-07 09:08,Unsupported,1
163,MP 01: Naamsestraat 35  Maxim,2022-01-07 09:20,Transport road - Passenger car,1
164,MP 01: Naamsestraat 35  Maxim,2022-01-07 09:34,Transport road - Passenger car,1
165,MP 01: Naamsestraat 35  Maxim,2022-01-07 09:41,Unsupported,1
166,MP 01: Naamsestraat 35  Maxim,2022-01-07 10:10,Transport road - Passenger car,1
167,MP 01: Naamsestraat 35  Maxim,2022-01-07 10:17,Transport road - Passenger car,1
168,MP 01: Naamsestraat 35  Maxim,2022-01-07 10:17,Transport road - Siren,1
169,MP 01: Naamsestraat 35  Maxim,2022-01-07 10:19,Transport road - Passenger car,1
170,MP 01: Naamsestraat 35  Maxim,2022-01-07 10:26,Transport road - Passenger car,1
171,MP 01: Naamsestraat 35  Maxim,2022-01-07 10:42,Transport road - Passenger car,1
172,MP 01: Naamsestraat 35  Maxim,2022-01-07 10:52,Transport road - Passenger car,1
173,MP 01: Naamsestraat 35  Maxim,2022-01-07 10:54,Transport road - Passenger car,1
174,MP 01: Naamsestraat 35  Maxim,2022-01-07 11:01,Transport road - Passenger car,1
175,MP 01: Naamsestraat 35  Maxim,2022-01-07 11:05,Transport road - Passenger car,1
176,MP 01: Naamsestraat 35  Maxim,2022-01-07 11:14,Transport road - Passenger car,1
177,MP 01: Naamsestraat 35  Maxim,2022-01-07 11:32,Transport road - Passenger car,1
178,MP 01: Naamsestraat 35  Maxim,2022-01-07 11:52,Transport road - Passenger car,1
179,MP 01: Naamsestraat 35  Maxim,2022-01-07 12:09,Transport road - Passenger car,1
180,MP 01: Naamsestraat 35  Maxim,2022-01-07 12:11,Transport road - Passenger car,1
181,MP 01: Naamsestraat 35  Maxim,2022-01-07 12:39,Transport road - Passenger car,2
182,MP 01: Naamsestraat 35  Maxim,2022-01-07 12:48,Unsupported,1
183,MP 01: Naamsestraat 35  Maxim,2022-01-07 13:29,Unsupported,1
184,MP 01: Naamsestraat 35  Maxim,2022-01-07 13:38,Transport road - Passenger car,1
185,MP 01: Naamsestraat 35  Maxim,2022-01-07 13:44,Transport road - Passenger car,1
186,MP 01: Naamsestraat 35  Maxim,2022-01-07 13:58,Transport road - Passenger car,1
187,MP 01: Naamsestraat 35  Maxim,2022-01-07 14:21,Transport road - Passenger car,1
188,MP 01: Naamsestraat 35  Maxim,2022-01-07 14:57,Transport road - Passenger car,1
189,MP 01: Naamsestraat 35  Maxim,2022-01-07 14:58,Transport road - Passenger car,1
190,MP 01: Naamsestraat 35  Maxim,2022-01-07 15:02,Transport road - Passenger car,1
191,MP 01: Naamsestraat 35  Maxim,2022-01-07 15:05,Transport road - Passenger car,1
192,MP 01: Naamsestraat 35  Maxim,2022-01-07 15:14,Transport road - Passenger car,1
193,MP 01: Naamsestraat 35  Maxim,2022-01-07 15:15,Transport road - Passenger car,1
194,MP 01: Naamsestraat 35  Maxim,2022-01-07 15:17,Transport road - Passenger car,1
195,MP 01: Naamsestraat 35  Maxim,2022-01-07 15:24,Transport road - Passenger car,1
196,MP 01: Naamsestraat 35  Maxim,2022-01-07 15:29,Transport road - Passenger car,1
197,MP 01: Naamsestraat 35  Maxim,2022-01-07 15:31,Transport road - Siren,1
198,MP 01: Naamsestraat 35  Maxim,2022-01-07 15:34,Unsupported,1
199,MP 01: Naamsestraat 35  Maxim,2022-01-07 15:39,Unsupported,1
200,MP 01: Naamsestraat 35  Maxim,2022-01-07 15:40,Transport road - Passenger car,1
201,MP 01: Naamsestraat 35  Maxim,2022-01-07 15:43,Transport road - Passenger car,1
202,MP 01: Naamsestraat 35  Maxim,2022-01-07 15:47,Transport road - Passenger car,1
203,MP 01: Naamsestraat 35  Maxim,2022-01-07 15:58,Transport road - Passenger car,1
204,MP 01: Naamsestraat 35  Maxim,2022-01-07 16:14,Transport road - Passenger car,1
205,MP 01: Naamsestraat 35  Maxim,2022-01-07 16:19,Transport road - Passenger car,1
206,MP 01: Naamsestraat 35  Maxim,2022-01-07 16:21,Unsupported,1
207,MP 01: Naamsestraat 35  Maxim,2022-01-07 16:41,Transport road - Passenger car,1
208,MP 01: Naamsestraat 35  Maxim,2022-01-07 16:50,Unsupported,1
209,MP 01: Naamsestraat 35  Maxim,2022-01-07 16:57,Transport road - Passenger car,1
210,MP 01: Naamsestraat 35  Maxim,2022-01-07 17:01,Unsupported,1
211,MP 01: Naamsestraat 35  Maxim,2022-01-07 17:27,Transport road - Passenger car,1
212,MP 01: Naamsestraat 35  Maxim,2022-01-07 17:29,Transport road - Passenger car,1
213,MP 01: Naamsestraat 35  Maxim,2022-01-07 17:58,Unsupported,1
214,MP 01: Naamsestraat 35  Maxim,2022-01-07 18:11,Unsupported,1
215,MP 01: Naamsestraat 35  Maxim,2022-01-07 18:13,Transport road - Passenger car,1
216,MP 01: Naamsestraat 35  Maxim,2022-01-07 18:15,Transport road - Passenger car,1
217,MP 01: Naamsestraat 35  Maxim,2022-01-07 18:25,Transport road - Passenger car,1
218,MP 01: Naamsestraat 35  Maxim,2022-01-07 18:26,Unsupported,1
219,MP 01: Naamsestraat 35  Maxim,2022-01-07 18:32,Transport road - Passenger car,1
220,MP 01: Naamsestraat 35  Maxim,2022-01-07 19:10,Transport road - Passenger car,1
221,MP 01: Naamsestraat 35  Maxim,2022-01-07 19:11,Transport road - Passenger car,1
222,MP 01: Naamsestraat 35  Maxim,2022-01-07 19:12,Transport road - Passenger car,2
223,MP 01: Naamsestraat 35  Maxim,2022-01-07 19:30,Transport road - Passenger car,1
224,MP 01: Naamsestraat 35  Maxim,2022-01-07 20:09,Transport road - Passenger car,1
225,MP 01: Naamsestraat 35  Maxim,2022-01-07 20:19,Transport road - Passenger car,1
226,MP 01: Naamsestraat 35  Maxim,2022-01-07 20:22,Transport road - Passenger car,1
227,MP 01: Naamsestraat 35  Maxim,2022-01-07 20:26,Transport road - Passenger car,1
228,MP 01: Naamsestraat 35  Maxim,2022-01-07 20:36,Unsupported,1
229,MP 01: Naamsestraat 35  Maxim,2022-01-07 20:50,Transport road - Passenger car,1
230,MP 01: Naamsestraat 35  Maxim,2022-01-07 20:57,Transport road - Passenger car,1
231,MP 01: Naamsestraat 35  Maxim,2022-01-07 21:50,Transport road - Passenger car,1
232,MP 01: Naamsestraat 35  Maxim,2022-01-07 21:54,Transport road - Passenger car,1
233,MP 01: Naamsestraat 35  Maxim,2022-01-07 22:02,Transport road - Passenger car,1
234,MP 01: Naamsestraat 35  Maxim,2022-01-07 22:18,Transport road - Passenger car,1
235,MP 01: Naamsestraat 35  Maxim,2022-01-07 22:52,Transport road - Passenger car,1
236,MP 01: Naamsestraat 35  Maxim,2022-01-07 23:06,Transport road - Passenger car,1
237,MP 01: Naamsestraat 35  Maxim,2022-01-07 23:12,Transport road - Passenger car,1
238,MP 01: Naamsestraat 35  Maxim,2022-01-07 23:14,Transport road - Passenger car,1
239,MP 01: Naamsestraat 35  Maxim,2022-01-08 00:46,Transport road - Passenger car,1
240,MP 01: Naamsestraat 35  Maxim,2022-01-08 00:51,Unsupported,1
241,MP 01: Naamsestraat 35  Maxim,2022-01-08 00:54,Transport road - Passenger car,1
242,MP 01: Naamsestraat 35  Maxim,2022-01-08 01:25,Transport road - Passenger car,1
243,MP 01: Naamsestraat 35  Maxim,2022-01-08 01:32,Human voice - Shouting,1
244,MP 01: Naamsestraat 35  Maxim,2022-01-08 02:16,Transport road - Passenger car,1
245,MP 01: Naamsestraat 35  Maxim,2022-01-08 02:57,Transport road - Passenger car,1
246,MP 01: Naamsestraat 35  Maxim,2022-01-08 03:35,Transport road - Passenger car,1
247,MP 01: Naamsestraat 35  Maxim,2022-01-08 06:03,Transport road - Passenger car,1
248,MP 01: Naamsestraat 35  Maxim,2022-01-08 06:24,Transport road - Passenger car,1
249,MP 01: Naamsestraat 35  Maxim,2022-01-08 06:54,Transport road - Passenger car,1
250,MP 01: Naamsestraat 35  Maxim,2022-01-08 07:03,Unsupported,1
251,MP 01: Naamsestraat 35  Maxim,2022-01-08 07:07,Transport road - Passenger car,1
252,MP 01: Naamsestraat 35  Maxim,2022-01-08 07:18,Transport road - Passenger car,1
253,MP 01: Naamsestraat 35  Maxim,2022-01-08 07:19,Transport road - Passenger car,2
254,MP 01: Naamsestraat 35  Maxim,2022-01-08 07:30,Transport road - Passenger car,1
255,MP 01: Naamsestraat 35  Maxim,2022-01-08 07:31,Transport road - Passenger car,1
256,MP 01: Naamsestraat 35  Maxim,2022-01-08 07:35,Transport road - Passenger car,1
257,MP 01: Naamsestraat 35  Maxim,2022-01-08 07:40,Unsupported,1
258,MP 01: Naamsestraat 35  Maxim,2022-01-08 07:53,Transport road - Passenger car,1
259,MP 01: Naamsestraat 35  Maxim,2022-01-08 07:54,Transport road - Passenger car,1
260,MP 01: Naamsestraat 35  Maxim,2022-01-08 08:10,Transport road - Passenger car,1
261,MP 01: Naamsestraat 35  Maxim,2022-01-08 08:17,Unsupported,1
262,MP 01: Naamsestraat 35  Maxim,2022-01-08 08:21,Transport road - Passenger car,1
263,MP 01: Naamsestraat 35  Maxim,2022-01-08 08:47,Transport road - Passenger car,1
264,MP 01: Naamsestraat 35  Maxim,2022-01-08 09:08,Transport road - Passenger car,1
265,MP 01: Naamsestraat 35  Maxim,2022-01-08 09:24,Transport road - Passenger car,1
266,MP 01: Naamsestraat 35  Maxim,2022-01-08 09:29,Transport road - Passenger car,1
267,MP 01: Naamsestraat 35  Maxim,2022-01-08 10:04,Transport road - Passenger car,1
268,MP 01: Naamsestraat 35  Maxim,2022-01-08 10:05,Transport road - Passenger car,1
269,MP 01: Naamsestraat 35  Maxim,2022-01-08 10:08,Transport road - Passenger car,1
270,MP 01: Naamsestraat 35  Maxim,2022-01-08 10:11,Transport road - Passenger car,1
271,MP 01: Naamsestraat 35  Maxim,2022-01-08 10:12,Transport road - Passenger car,1
272,MP 01: Naamsestraat 35  Maxim,2022-01-08 10:32,Transport road - Passenger car,1
273,MP 01: Naamsestraat 35  Maxim,2022-01-08 10:44,Transport road - Passenger car,1
274,MP 01: Naamsestraat 35  Maxim,2022-01-08 10:50,Transport road - Passenger car,1
275,MP 01: Naamsestraat 35  Maxim,2022-01-08 10:51,Unsupported,1
276,MP 01: Naamsestraat 35  Maxim,2022-01-08 10:54,Transport road - Passenger car,1
277,MP 01: Naamsestraat 35  Maxim,2022-01-08 10:55,Transport road - Passenger car,1
278,MP 01: Naamsestraat 35  Maxim,2022-01-08 11:09,Transport road - Passenger car,1
279,MP 01: Naamsestraat 35  Maxim,2022-01-08 11:43,Transport road - Passenger car,1
280,MP 01: Naamsestraat 35  Maxim,2022-01-08 12:12,Transport road - Passenger car,1
281,MP 01: Naamsestraat 35  Maxim,2022-01-08 12:32,Transport road - Passenger car,1
282,MP 01: Naamsestraat 35  Maxim,2022-01-08 12:34,Transport road - Passenger car,1
283,MP 01: Naamsestraat 35  Maxim,2022-01-08 12:39,Transport road - Passenger car,1
284,MP 01: Naamsestraat 35  Maxim,2022-01-08 12:55,Transport road - Passenger car,1
285,MP 01: Naamsestraat 35  Maxim,2022-01-08 13:03,Unsupported,1
286,MP 01: Naamsestraat 35  Maxim,2022-01-08 13:07,Transport road - Passenger car,1
287,MP 01: Naamsestraat 35  Maxim,2022-01-08 13:28,Transport road - Passenger car,1
288,MP 01: Naamsestraat 35  Maxim,2022-01-08 13:50,Transport road - Passenger car,1
289,MP 01: Naamsestraat 35  Maxim,2022-01-08 14:34,Transport road - Passenger car,1
290,MP 01: Naamsestraat 35  Maxim,2022-01-08 14:35,Transport road - Passenger car,1
291,MP 01: Naamsestraat 35  Maxim,2022-01-08 14:59,Transport road - Passenger car,1
292,MP 01: Naamsestraat 35  Maxim,2022-01-08 15:03,Transport road - Passenger car,1
293,MP 01: Naamsestraat 35  Maxim,2022-01-08 15:18,Unsupported,1
294,MP 01: Naamsestraat 35  Maxim,2022-01-08 15:43,Transport road - Passenger car,1
295,MP 01: Naamsestraat 35  Maxim,2022-01-08 15:58,Unsupported,1
296,MP 01: Naamsestraat 35  Maxim,2022-01-08 16:01,Transport road - Passenger car,1
297,MP 01: Naamsestraat 35  Maxim,2022-01-08 16:14,Unsupported,1
298,MP 01: Naamsestraat 35  Maxim,2022-01-08 17:11,Transport road - Passenger car,1
299,MP 01: Naamsestraat 35  Maxim,2022-01-08 17:14,Transport road - Passenger car,1
300,MP 01: Naamsestraat 35  Maxim,2022-01-08 17:39,Transport road - Passenger car,1
301,MP 01: Naamsestraat 35  Maxim,2022-01-08 17:52,Transport road - Passenger car,1
302,MP 01: Naamsestraat 35  Maxim,2022-01-08 18:02,Unsupported,1
303,MP 01: Naamsestraat 35  Maxim,2022-01-08 18:07,Transport road - Passenger car,1
304,MP 01: Naamsestraat 35  Maxim,2022-01-08 18:14,Transport road - Passenger car,1
305,MP 01: Naamsestraat 35  Maxim,2022-01-08 18:23,Transport road - Passenger car,1
306,MP 01: Naamsestraat 35  Maxim,2022-01-08 18:51,Transport road - Passenger car,1
307,MP 01: Naamsestraat 35  Maxim,2022-01-08 19:09,Unsupported,1
308,MP 01: Naamsestraat 35  Maxim,2022-01-08 19:36,Unsupported,1
309,MP 01: Naamsestraat 35  Maxim,2022-01-08 19:52,Unsupported,1
310,MP 01: Naamsestraat 35  Maxim,2022-01-08 19:55,Transport road - Passenger car,1
